episodio,pregrado,stem,nacionalidad
1,Bioquímica & Microbiología,Ciencia,Guatemala
2,Bioquímica & Microbiología,Ciencia,Guatemala
3,Biología,Ciencia,Guatemala
4,Bioquímica & Microbiología,Ciencia,Guatemala
5,Biología,Ciencia,Guatemala
6,Biología,Ciencia,Guatemala
7,Ingeniería Mecatrónica,Ingeniería,Guatemala
8,Física,Ciencia,Guatemala
9,Nutrición,Ciencia,Guatemala
10,Biología,Ciencia,Guatemala
11,Ingeniería Electrónica,Ingeniería,Guatemala
12,Ingeniería Ambiental,Ingeniería,Guatemala
13,Ingeniería Ambiental,Ingeniería,Nicaragua
14,Química Farmacéutica,Ciencia,Guatemala
15,Ingeniería en Sistemas y Computación,Ingeniería,Guatemala
16,Biología,Ciencia,Colombia
17,Medicina Veterinaria,Ciencia,Guatemala
18,Ingeniería Mecatrónica,Ingeniería,Guatemala
19,Biología,Ciencia,Guatemala
21,Bioquímica,Ciencia,Guatemala
22,Biología,Ciencia,Guatemala
23,Medicina Veterinaria,Ciencia,Guatemala
24,Biología,Ciencia,Guatemala
25,Biología,Ciencia,Brasil
26,Biología,Ciencia,Guatemala
27,Biología,Ciencia,España
28,Actuaría,Tecnología,México
29,Biología,Ciencia,Guatemala
30,Ingeniería Electromecánica,Ingeniería,Costa Rica
31,Química Farmacéutica,Ciencia,Guatemala
32,Física,Ciencia,Guatemala
33,Acuicultura,Ciencia,Guatemala
34,Ingeniería Electrónica,Ingeniería,Guatemala
35,QA Software,Tecnología,Guatemala
37,Bioquímica & Microbiología,Ciencia,Guatemala
38,Ingeniería Mecatrónica,Ingeniería,Guatemala
39,Ingeniería en Sistemas y Computación,Ingeniería,Guatemala
40,Física,Ciencia,Guatemala
41,Geofísica,Ciencia,Chile
42,Ingeniería Aeroespacial,Ingeniería,Ecuador
43,Biofísica,Ciencia,Estados Unidos
44,Ingeniería Mecánica,Ingeniería,Guatemala
45,Ingeniería en Sistemas y Computación,Ingeniería,Guatemala
47,Geología,Ciencia,Chile
48,Biología,Ciencia,Perú
49,Neurociencias,Ciencia,Guatemala
50,Biología,Ciencia,Guatemala
51,Biología,Ciencia,Guatemala
52,Biología,Ciencia,El Salvador
54,Biología,Ciencia,El Salvador
55,Biología,Ciencia,Guatemala
56,Biología,Ciencia,Bolivia
57,Ingeniería Mecánica,Ingeniería,Guatemala
58,Química Biológica,Ciencia,Guatemala
59,Bioquímica & Microbiología,Ciencia,Guatemala
60,Ingeniería en Sistemas y Computación,Ingeniería,Guatemala
61,Ingeniería Eléctrica,Ingeniería,Costa Rica
62,Ingeniería Química,Ingeniería,Guatemala
63,Química,Ciencia,Guatemala
64,Ingeniería en Sistemas y Computación,Ingeniería,Guatemala
65,Matemática,Matemática,Guatemala
66,Desarrollo Web,Tecnología,Guatemala
